"Asset","Asset_Type","N_Observations","Kurtosis","Excess_Kurtosis","JB_Statistic","JB_PValue","Fat_Tailed","ARCH_Statistic","ARCH_PValue","LB_Statistic","LB_PValue","Has_Clustering","Leverage_Coefficient","Leverage_PValue","Has_Leverage","ACF1","Return_LB_PValue","Has_Autocorr","Hurst_Exponent","Has_Long_Memory","Tail_Index","Is_Heavy_Tailed"
"NVDA","Equity",4515,10.4595075791851,7.45950757918509,10493.0392309805,0,TRUE,132.276430242455,2.15376278419967e-22,227.375297192369,0,TRUE,-0.000113008873129998,0.216448973317894,FALSE,-0.0344293326191059,0.00109955664189298,TRUE,1.04680381526147,TRUE,Inf,FALSE
"MSFT","Equity",4515,12.1807761512927,9.18077615129267,15892.816907218,0,TRUE,580.03108897574,1.94223012369222e-116,1451.71054669598,0,TRUE,-2.93007092615888e-05,0.335925596522496,FALSE,-0.104617509288372,1.11022302462516e-16,TRUE,0.978452220578987,TRUE,Inf,FALSE
"PG","Equity",4515,13.0930802914581,10.0930802914581,19169.6654239373,0,TRUE,1159.2518409547,1.02795700010847e-240,3851.95918602219,0,TRUE,-2.26783751020855e-07,0.986760801321428,FALSE,-0.0893660666094855,4.50306458787963e-13,TRUE,0.911647555943029,TRUE,Inf,FALSE
"CAT","Equity",4515,8.08970701357821,5.08970701357821,4874.03369931954,0,TRUE,569.128401361308,4.11840535615798e-114,1447.829790801,0,TRUE,5.17824996249691e-06,0.877595252862089,FALSE,0.0111108673709073,0.474621660985329,FALSE,0.941623778139501,TRUE,Inf,FALSE
"WMT","Equity",4515,15.3523884664103,12.3523884664103,28748.6521086426,0,TRUE,339.463647298627,2.33855434822384e-65,607.038209817087,0,TRUE,-1.02864677186138e-05,0.590995629419664,FALSE,-0.0544349619900898,1.14175346055401e-06,TRUE,0.946685494625529,TRUE,Inf,FALSE
"AMZN","Equity",4515,17.3998461151406,14.3998461151406,39657.5859806003,0,TRUE,74.3794839375205,4.81265213423865e-11,99.4265703671137,6.66133814775094e-16,TRUE,-0.000151346216980594,0.0392758558144316,TRUE,-0.0110201974614019,0.00820250093139629,TRUE,0.871389411668825,TRUE,Inf,FALSE
"EURUSD","FX",4515,7.26146945630698,4.26146945630698,3422.86968276096,0,TRUE,442.523126223888,3.65218999381925e-87,902.553702623037,0,TRUE,2.59860854794229e-06,0.294644251538077,FALSE,-0.00462174100455312,0.234215299287735,FALSE,0.915265730364658,TRUE,Inf,FALSE
"GBPUSD","FX",4515,15.5692256626899,12.5692256626899,30423.2694512949,0,TRUE,282.436861388053,2.2668913443307e-53,490.883384857868,0,TRUE,7.82730710991515e-06,0.0851081045207555,FALSE,0.0380717209398766,0.000402409490636302,TRUE,0.995338937123899,TRUE,Inf,FALSE
"GBPCNY","FX",4515,12.9327313181935,9.93273131819345,18785.8311748246,0,TRUE,246.049147194864,9.11487871286942e-46,440.427738746569,0,TRUE,5.44290777874307e-06,0.162033676561695,FALSE,0.0132566084593931,0.00377780051360099,TRUE,0.851589572058675,TRUE,Inf,FALSE
"USDZAR","FX",4515,7.12563440876434,4.12563440876434,3433.9768958819,0,TRUE,609.333339605926,1.07659523162098e-122,1551.97817944671,0,TRUE,-4.15251308032773e-05,1.14023874223534e-06,TRUE,-0.030967432749223,0.00295909242524217,TRUE,0.850375806817527,TRUE,Inf,FALSE
"GBPZAR","FX",4515,7.24349306796603,4.24349306796603,3668.78938283865,0,TRUE,432.339942542522,5.29035576260546e-85,810.159031898296,0,TRUE,-3.21506536407457e-05,9.20219097157892e-06,TRUE,-0.00661330210837428,0.01195038395017,TRUE,0.964501105779834,TRUE,Inf,FALSE
"EURZAR","FX",4515,7.29128893835765,4.29128893835765,3840.79225640874,0,TRUE,344.535928570592,1.99310485696757e-66,727.438315296366,0,TRUE,-3.61506487213325e-05,1.93696735223662e-07,TRUE,-0.0128543070935487,0.0659668704625299,FALSE,0.936425267678489,TRUE,Inf,FALSE
